year,industry_code,industry_name,commodity_code,commodity_name,value_musd,total_intermediate_musd,input_share,link_5pct
2019,525,"Funds, trusts, and other financial vehicles",211,Oil and gas extraction,0.0,145633.0,0.0,0
2019,HS,Housing,211,Oil and gas extraction,0.0,247528.0,0.0,0
2019,ORE,Other real estate,211,Oil and gas extraction,31.0,843501.0,3.675158654228033e-05,0
2019,532RL,Rental and leasing services and lessors of intangible assets,211,Oil and gas extraction,0.0,160936.0,0.0,0
2019,5411,Legal services,211,Oil and gas extraction,0.0,80838.0,0.0,0
2019,5415,Computer systems design and related services,211,Oil and gas extraction,1.0,153186.0,6.528011698196963e-06,0
2019,5412OP,"Miscellaneous professional, scientific, and technical services",211,Oil and gas extraction,4.0,588693.0,6.7947130337884095e-06,0
2019,55,Management of companies and enterprises,211,Oil and gas extraction,3.0,226135.0,1.326641165675371e-05,0
2019,561,Administrative and support services,211,Oil and gas extraction,0.0,473915.0,0.0,0
2019,562,Waste management and remediation services,211,Oil and gas extraction,2.0,69330.0,2.8847540747151304e-05,0
2019,61,Educational services,211,Oil and gas extraction,206.0,112881.0,0.0018249306792108,0
2019,621,Ambulatory health care services,211,Oil and gas extraction,1.0,378847.0,2.639588013102915e-06,0
2019,622,Hospitals,211,Oil and gas extraction,0.0,406220.0,0.0,0
2019,623,Nursing and residential care facilities,211,Oil and gas extraction,1.0,102645.0,9.742315748453407e-06,0
2019,624,Social assistance,211,Oil and gas extraction,0.0,100948.0,0.0,0
2019,711AS,"Performing arts, spectator sports, museums, and related activities",211,Oil and gas extraction,0.0,83875.0,0.0,0
2019,713,"Amusements, gambling, and recreation industries",211,Oil and gas extraction,26.0,75717.0,0.0003433839164256,0
2019,721,Accommodation,211,Oil and gas extraction,2.0,111615.0,1.7918738520808134e-05,0
2019,722,Food services and drinking places,211,Oil and gas extraction,1.0,418838.0,2.3875579579694297e-06,0
2019,81,"Other services, except government",211,Oil and gas extraction,6.0,298895.0,2.0073939008681977e-05,0
2019,GFGD,Federal general government (defense),211,Oil and gas extraction,0.0,270064.0,0.0,0
2019,GFGN,Federal general government (nondefense),211,Oil and gas extraction,0.0,121485.0,0.0,0
2019,GFE,Federal government enterprises,211,Oil and gas extraction,1433.0,33264.0,0.0430796055796055,0
2019,GSLG,State and local general government,211,Oil and gas extraction,0.0,842146.0,0.0,0
2019,GSLE,State and local government enterprises,211,Oil and gas extraction,18787.0,231285.0,0.0812287869944008,1
2019,111CA,Farms,212,"Mining, except oil and gas",1665.0,265426.0,0.0062729348292932,0
2019,113FF,"Forestry, fishing, and related activities",212,"Mining, except oil and gas",0.0,9409.0,0.0,0
2019,211,Oil and gas extraction,212,"Mining, except oil and gas",112.0,143210.0,0.0007820682913204,0
2019,212,"Mining, except oil and gas",212,"Mining, except oil and gas",8248.0,53016.0,0.1555756752678436,1
2019,213,Support activities for mining,212,"Mining, except oil and gas",222.0,67484.0,0.0032896686622014,0
2019,22,Utilities,212,"Mining, except oil and gas",7972.0,186372.0,0.0427746657223188,0
2019,23,Construction,212,"Mining, except oil and gas",22657.0,779205.0,0.0290770721440442,0
2019,321,Wood products,212,"Mining, except oil and gas",13.0,75557.0,0.0001720555342324,0
2019,327,Nonmetallic mineral products,212,"Mining, except oil and gas",13433.0,72040.0,0.1864658523042754,1
2019,331,Primary metals,212,"Mining, except oil and gas",10041.0,168512.0,0.0595862609191036,1
2019,332,Fabricated metal products,212,"Mining, except oil and gas",561.0,218723.0,0.0025648880090342,0
2019,333,Machinery,212,"Mining, except oil and gas",120.0,230162.0,0.0005213719032681,0
2019,334,Computer and electronic products,212,"Mining, except oil and gas",8.0,100954.0,7.924401212433386e-05,0
2019,335,"Electrical equipment, appliances, and components",212,"Mining, except oil and gas",97.0,71429.0,0.0013579918520488,0
2019,3361MV,"Motor vehicles, bodies and trailers, and parts",212,"Mining, except oil and gas",88.0,488464.0,0.0001801565724393,0
2019,3364OT,Other transportation equipment,212,"Mining, except oil and gas",124.0,162915.0,0.000761133106221,0
2019,337,Furniture and related products,212,"Mining, except oil and gas",20.0,43803.0,0.0004565897312969,0
2019,339,Miscellaneous manufacturing,212,"Mining, except oil and gas",122.0,75412.0,0.0016177796637139,0
2019,311FT,Food and beverage and tobacco products,212,"Mining, except oil and gas",1775.0,705040.0,0.0025175876546011,0
2019,313TT,Textile mills and textile product mills,212,"Mining, except oil and gas",57.0,33218.0,0.001715937142513,0
2019,315AL,Apparel and leather and allied products,212,"Mining, except oil and gas",0.0,7712.0,0.0,0
2019,322,Paper products,212,"Mining, except oil and gas",1982.0,128227.0,0.015456963042105,0
2019,323,Printing and related support activities,212,"Mining, except oil and gas",0.0,39644.0,0.0,0
2019,324,Petroleum and coal products,212,"Mining, except oil and gas",4854.0,454343.0,0.0106835584569367,0
2019,325,Chemical products,212,"Mining, except oil and gas",6738.0,430956.0,0.0156350068220421,0
2019,326,Plastics and rubber products,212,"Mining, except oil and gas",179.0,165496.0,0.0010815971382994,0
2019,42,Wholesale trade,212,"Mining, except oil and gas",24.0,935960.0,2.5642121458181975e-05,0
2019,441,Motor vehicle and parts dealers,212,"Mining, except oil and gas",0.0,113778.0,0.0,0
2019,445,Food and beverage stores,212,"Mining, except oil and gas",0.0,94734.0,0.0,0
2019,452,General merchandise stores,212,"Mining, except oil and gas",0.0,84564.0,0.0,0
2019,4A0,Other retail,212,"Mining, except oil and gas",2.0,417277.0,4.792979244003384e-06,0
2019,481,Air transportation,212,"Mining, except oil and gas",0.0,132056.0,0.0,0
2019,482,Rail transportation,212,"Mining, except oil and gas",166.0,38661.0,0.0042937327022063,0
2019,483,Water transportation,212,"Mining, except oil and gas",0.0,45363.0,0.0,0
2019,484,Truck transportation,212,"Mining, except oil and gas",9.0,212015.0,4.244982666320779e-05,0
2019,485,Transit and ground passenger transportation,212,"Mining, except oil and gas",1.0,55215.0,1.8111020556008332e-05,0
2019,486,Pipeline transportation,212,"Mining, except oil and gas",0.0,22684.0,0.0,0
2019,487OS,Other transportation and support activities,212,"Mining, except oil and gas",2.0,120500.0,1.6597510373443984e-05,0
2019,493,Warehousing and storage,212,"Mining, except oil and gas",2.0,61561.0,3.248810123292344e-05,0
2019,511,"Publishing industries, except internet (includes software)",212,"Mining, except oil and gas",20.0,140075.0,0.0001427806532214,0
2019,512,Motion picture and sound recording industries,212,"Mining, except oil and gas",20.0,78299.0,0.0002554311038455,0
2019,513,Broadcasting and telecommunications,212,"Mining, except oil and gas",324.0,392419.0,0.0008256480955305,0
2019,514,"Data processing, internet publishing, and other information services",212,"Mining, except oil and gas",850.0,207641.0,0.004093603864362,0
2019,521CI,"Federal Reserve banks, credit intermediation, and related activities",212,"Mining, except oil and gas",0.0,379812.0,0.0,0
2019,523,"Securities, commodity contracts, and investments",212,"Mining, except oil and gas",0.0,328963.0,0.0,0
2019,524,Insurance carriers and related activities,212,"Mining, except oil and gas",0.0,501241.0,0.0,0
2019,525,"Funds, trusts, and other financial vehicles",212,"Mining, except oil and gas",0.0,145633.0,0.0,0
2019,HS,Housing,212,"Mining, except oil and gas",6.0,247528.0,2.423968197537248e-05,0
2019,ORE,Other real estate,212,"Mining, except oil and gas",0.0,843501.0,0.0,0
2019,532RL,Rental and leasing services and lessors of intangible assets,212,"Mining, except oil and gas",0.0,160936.0,0.0,0
2019,5411,Legal services,212,"Mining, except oil and gas",0.0,80838.0,0.0,0
2019,5415,Computer systems design and related services,212,"Mining, except oil and gas",0.0,153186.0,0.0,0
2019,5412OP,"Miscellaneous professional, scientific, and technical services",212,"Mining, except oil and gas",1651.0,588693.0,0.0028045178046961,0
2019,55,Management of companies and enterprises,212,"Mining, except oil and gas",49.0,226135.0,0.0002166847237269,0
2019,561,Administrative and support services,212,"Mining, except oil and gas",988.0,473915.0,0.002084762035386,0
2019,562,Waste management and remediation services,212,"Mining, except oil and gas",59.0,69330.0,0.0008510024520409,0
2019,61,Educational services,212,"Mining, except oil and gas",468.0,112881.0,0.0041459590187896,0
2019,621,Ambulatory health care services,212,"Mining, except oil and gas",0.0,378847.0,0.0,0
2019,622,Hospitals,212,"Mining, except oil and gas",26.0,406220.0,6.400472650288021e-05,0
2019,623,Nursing and residential care facilities,212,"Mining, except oil and gas",37.0,102645.0,0.0003604656826927,0
2019,624,Social assistance,212,"Mining, except oil and gas",306.0,100948.0,0.0030312636208741,0
2019,711AS,"Performing arts, spectator sports, museums, and related activities",212,"Mining, except oil and gas",299.0,83875.0,0.0035648286140089,0
2019,713,"Amusements, gambling, and recreation industries",212,"Mining, except oil and gas",749.0,75717.0,0.0098920982078,0
2019,721,Accommodation,212,"Mining, except oil and gas",164.0,111615.0,0.0014693365587062,0
2019,722,Food services and drinking places,212,"Mining, except oil and gas",1007.0,418838.0,0.0024042708636752,0
2019,81,"Other services, except government",212,"Mining, except oil and gas",1349.0,298895.0,0.0045132906204519,0
2019,GFGD,Federal general government (defense),212,"Mining, except oil and gas",0.0,270064.0,0.0,0
2019,GFGN,Federal general government (nondefense),212,"Mining, except oil and gas",3279.0,121485.0,0.0269909865415483,0
2019,GFE,Federal government enterprises,212,"Mining, except oil and gas",0.0,33264.0,0.0,0
2019,GSLG,State and local general government,212,"Mining, except oil and gas",3003.0,842146.0,0.0035658900000712,0
2019,GSLE,State and local government enterprises,212,"Mining, except oil and gas",7015.0,231285.0,0.0303305445662278,0
2019,111CA,Farms,213,Support activities for mining,0.0,265426.0,0.0,0
2019,113FF,"Forestry, fishing, and related activities",213,Support activities for mining,0.0,9409.0,0.0,0
2019,211,Oil and gas extraction,213,Support activities for mining,21268.0,143210.0,0.1485091823196704,1
2019,212,"Mining, except oil and gas",213,Support activities for mining,1160.0,53016.0,0.0218801871133242,0
2019,213,Support activities for mining,213,Support activities for mining,3760.0,67484.0,0.0557169106751229,1
2019,22,Utilities,213,Support activities for mining,0.0,186372.0,0.0,0
2019,23,Construction,213,Support activities for mining,0.0,779205.0,0.0,0
2019,321,Wood products,213,Support activities for mining,0.0,75557.0,0.0,0
2019,327,Nonmetallic mineral products,213,Support activities for mining,0.0,72040.0,0.0,0
2019,331,Primary metals,213,Support activities for mining,0.0,168512.0,0.0,0
2019,332,Fabricated metal products,213,Support activities for mining,0.0,218723.0,0.0,0
2019,333,Machinery,213,Support activities for mining,0.0,230162.0,0.0,0
2019,334,Computer and electronic products,213,Support activities for mining,0.0,100954.0,0.0,0
2019,335,"Electrical equipment, appliances, and components",213,Support activities for mining,0.0,71429.0,0.0,0
2019,3361MV,"Motor vehicles, bodies and trailers, and parts",213,Support activities for mining,0.0,488464.0,0.0,0
2019,3364OT,Other transportation equipment,213,Support activities for mining,0.0,162915.0,0.0,0
2019,337,Furniture and related products,213,Support activities for mining,0.0,43803.0,0.0,0
2019,339,Miscellaneous manufacturing,213,Support activities for mining,0.0,75412.0,0.0,0
2019,311FT,Food and beverage and tobacco products,213,Support activities for mining,0.0,705040.0,0.0,0
2019,313TT,Textile mills and textile product mills,213,Support activities for mining,0.0,33218.0,0.0,0
2019,315AL,Apparel and leather and allied products,213,Support activities for mining,0.0,7712.0,0.0,0
2019,322,Paper products,213,Support activities for mining,0.0,128227.0,0.0,0
2019,323,Printing and related support activities,213,Support activities for mining,0.0,39644.0,0.0,0
2019,324,Petroleum and coal products,213,Support activities for mining,0.0,454343.0,0.0,0
2019,325,Chemical products,213,Support activities for mining,0.0,430956.0,0.0,0
2019,326,Plastics and rubber products,213,Support activities for mining,0.0,165496.0,0.0,0
2019,42,Wholesale trade,213,Support activities for mining,0.0,935960.0,0.0,0
2019,441,Motor vehicle and parts dealers,213,Support activities for mining,0.0,113778.0,0.0,0
2019,445,Food and beverage stores,213,Support activities for mining,0.0,94734.0,0.0,0
2019,452,General merchandise stores,213,Support activities for mining,0.0,84564.0,0.0,0
2019,4A0,Other retail,213,Support activities for mining,0.0,417277.0,0.0,0
2019,481,Air transportation,213,Support activities for mining,0.0,132056.0,0.0,0
2019,482,Rail transportation,213,Support activities for mining,0.0,38661.0,0.0,0
2019,483,Water transportation,213,Support activities for mining,0.0,45363.0,0.0,0
2019,484,Truck transportation,213,Support activities for mining,0.0,212015.0,0.0,0
2019,485,Transit and ground passenger transportation,213,Support activities for mining,0.0,55215.0,0.0,0
2019,486,Pipeline transportation,213,Support activities for mining,0.0,22684.0,0.0,0
2019,487OS,Other transportation and support activities,213,Support activities for mining,0.0,120500.0,0.0,0
2019,493,Warehousing and storage,213,Support activities for mining,0.0,61561.0,0.0,0
2019,511,"Publishing industries, except internet (includes software)",213,Support activities for mining,0.0,140075.0,0.0,0
2019,512,Motion picture and sound recording industries,213,Support activities for mining,0.0,78299.0,0.0,0
2019,513,Broadcasting and telecommunications,213,Support activities for mining,0.0,392419.0,0.0,0
2019,514,"Data processing, internet publishing, and other information services",213,Support activities for mining,0.0,207641.0,0.0,0
2019,521CI,"Federal Reserve banks, credit intermediation, and related activities",213,Support activities for mining,0.0,379812.0,0.0,0
2019,523,"Securities, commodity contracts, and investments",213,Support activities for mining,0.0,328963.0,0.0,0
2019,524,Insurance carriers and related activities,213,Support activities for mining,0.0,501241.0,0.0,0
2019,525,"Funds, trusts, and other financial vehicles",213,Support activities for mining,0.0,145633.0,0.0,0
2019,HS,Housing,213,Support activities for mining,0.0,247528.0,0.0,0
2019,ORE,Other real estate,213,Support activities for mining,0.0,843501.0,0.0,0
2019,532RL,Rental and leasing services and lessors of intangible assets,213,Support activities for mining,0.0,160936.0,0.0,0
2019,5411,Legal services,213,Support activities for mining,0.0,80838.0,0.0,0
2019,5415,Computer systems design and related services,213,Support activities for mining,0.0,153186.0,0.0,0
2019,5412OP,"Miscellaneous professional, scientific, and technical services",213,Support activities for mining,29.0,588693.0,4.926166949496597e-05,0
2019,55,Management of companies and enterprises,213,Support activities for mining,3.0,226135.0,1.326641165675371e-05,0
2019,561,Administrative and support services,213,Support activities for mining,0.0,473915.0,0.0,0
2019,562,Waste management and remediation services,213,Support activities for mining,0.0,69330.0,0.0,0
2019,61,Educational services,213,Support activities for mining,0.0,112881.0,0.0,0
2019,621,Ambulatory health care services,213,Support activities for mining,0.0,378847.0,0.0,0
2019,622,Hospitals,213,Support activities for mining,0.0,406220.0,0.0,0
2019,623,Nursing and residential care facilities,213,Support activities for mining,0.0,102645.0,0.0,0
2019,624,Social assistance,213,Support activities for mining,0.0,100948.0,0.0,0
